KEY,Russian,English,German,Italian,French,Spanish,Japanese,Korean,Chinesetrad,Chinesesimple,Portuguese
camp_fire,Костёр,CampFire,Lagerfeuer,CampFire,Campfire,Hoguera,キャンプファイア,캠프 불,營火,营火,CampFire
camp_fire_descr,"На костре вы можете пожарить сырое мясо, рыбу и многое другое. Также костер согревает, освещает и защищает от диких животных. Чтобы использовать костер, разместите его на земле.","At camp fire you can fry raw meat, fish and much more. Also, a fire warms, illuminates and protects against wild animals. To use the Camp Fire, place it on the ground.","Am Lagerfeuer können Sie braten rohes Fleisch, Fisch und vieles mehr. Auch ein Feuer wärmt, erleuchtet und schützt vor wilden Tieren. Um das Lagerfeuer zu verwenden, legen Sie es auf den Boden.","Al campo di fuoco si può friggere la carne cruda, pesce e molto altro ancora. Inoltre, un fuoco riscalda, illumina e protegge contro gli animali selvatici. Per usare il Fuoco di accampamento, metterlo a terra.","Au feu de camp, vous pouvez faire frire la viande crue, le poisson et bien plus encore. En outre, un incendie se réchauffe, illumine et protège contre les animaux sauvages. Pour utiliser le feu Camp, placez-le sur le sol.","Al fuego de campamento se puede freír la carne cruda, pescado y mucho más. También, un fuego calienta, ilumina y protege contra los animales salvajes. Para utilizar el fuego del campo, colocarlo en el suelo.",キャンプファイヤーでは、あなたは生の肉、魚および大いに多くを炒めることができます。また、火災は、温め点灯し、野生動物を保護します。キャンプファイヤーを使用するには、地面の上に置きます。,"캠프 파이어에서 당신은 원시 고기, 생선 등을 볶는다 수 있습니다. 또한, 화재, 따뜻하게 조명 및 야생 동물 보호합니다. 캠프 파이어를 사용하려면, 지상에 배치합니다.",在篝火你可以炒生肉，魚等等。此外，起火溫暖，照亮並防止野生動物。要使用篝火，將其放置在地面上。,在篝火你可以炒生肉，鱼等等。此外，起火温暖，照亮并防止野生动物。要使用篝火，将其放置在地面上。,"No fogo do acampamento que você pode fritar a carne crua, peixe e muito mais. Além disso, um fogo aquece, ilumina e protege contra os animais selvagens. Para utilizar o Camp Fire, coloque-o no chão."
furnace,Печь,Furnace,Ofen,Forno,Four,Horno,ファーネス,노,爐,炉,Forno
furnace_descr,"Необходима для переплавки руды и получения угля. Чтобы использовать печь, разместите её на земле.","Required for melting the ore and producing coal. To use the furnace, place it on the ground.","Erforderlich das Erz zum Schmelzen und Herstellung von Kohle. Um den Ofen zu verwenden, legen Sie es auf den Boden.","Richiesto per la fusione del minerale e la produzione di carbone. Per utilizzare il forno, mettere a terra.","Nécessaire pour faire fondre le minerai et la production de charbon. Pour utiliser le four, placez-le sur le sol.","Requerida para fundir el mineral y la producción de carbón. Para utilizar el horno, colocarlo en el suelo.",鉱石を溶融し、石炭を生産するために必要です。炉を使用するには、地面の上に置きます。,"광석을 용융 및 석탄 생산에 필요합니다. 노를 사용하려면, 지상에 배치합니다.",需要熔化礦石和煤炭生產。要使用電爐，將其放置在地面上。,需要熔化矿石和煤炭生产。要使用电炉，将其放置在地面上。,"Necessário para derreter o minério e produção de carvão. Para usar o forno, coloque-o no chão."
bed,Кровать,Bed,Bett,Letto,Lit,Cama,ベッド,침대,床,床,Cama
bed_descr,"На кровати вы можете спать по ночам а также назначить её точкой респауна. Если вы будете спать в небезопасном месте на вас могут напасть. Чтобы использовать кровать, разместите её на земле.","On the bed you can sleep at night and assign it a point to respawn. If you sleep in an unsafe place you may be attacked. To use the bed, place it on the ground.","Auf dem Bett kann man nachts nicht schlafen und es einen Punkt zu respawnen zuweisen. Wenn Sie in einem unsicheren Ort schlafen können Sie angegriffen werden. Um das Bett zu verwenden, legen Sie es auf den Boden.","Sul letto si può dormire la notte e assegnare un punto di respawn. Se si dorme in un luogo non sicuro si può essere attaccato. Per utilizzare il letto, posto a terra.","Sur le lit, vous pouvez dormir la nuit et lui attribuer un point de respawn. Si vous dormez dans un endroit dangereux, vous pouvez être attaqué. Pour utiliser le lit, placez-le sur le sol.","En la cama se puede dormir por la noche y asignar un punto para reaparecer. Si duerme en un lugar inseguro puede ser atacado. Para utilizar la cama, colocarlo en el suelo.",ベッドの上であなたは夜寝るし、それを復活するためのポイントを割り当てることができます。あなたは危険な場所で眠る場合は、攻撃されることがあります。ベッドを使用するには、地面の上に置きます。,"침대에 당신은 밤에 잠을 부활하기 위해 그것에게 포인트를 할당 할 수 있습니다. 당신이 안전하지 않은 장소에서 잠을 경우 공격 할 수있다. 침대를 사용하려면, 지상에 배치합니다.",在床上你可以在晚上睡覺並為其分配一個點重生。如果您在不安全的地方睡覺，你可能會被攻擊。床上使用，將其放置在地面上。,在床上你可以在晚上睡觉并为其分配一个点重生。如果您在不安全的地方睡觉，你可能会被攻击。床上使用，将其放置在地面上。,"Na cama você pode dormir à noite e atribuir-lhe um ponto para reaparecer. Se você dormir em um lugar inseguro você pode ser atacado. Para usar a cama, coloque-o no chão."
tent,Палатка,Tent,Tent,Tent,Tent,Tent,Tent,Tent,Tent,Tent,Tent
tent_descr,"В палатке вы можете спать по ночам а также назначить её точкой респауна. Чтобы использовать палатку, разместите её на земле.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground.","In tent you can sleep at night and assign it a point to respawn. To use the tent, place it on the ground."
inventory_box,Ящик,Inventory box,Inventar-Box,scatola di inventario,boîte d'inventaire,cuadro de inventario,インベントリボックス,재고 상자,庫存箱,库存箱,caixa de inventário
inventory_box_descr,"В ящике вы можете хранить различные предметы. Чтобы использовать ящик, разместите его на земле.","In the inventory box you can store a variety of items. To use the inventory box, place it on the ground.","Im Inventar-Box können Sie eine Vielzahl von Produkten zu speichern. Um das Inventar-Box verwenden, legen Sie es auf den Boden.","Nella casella di inventario è possibile memorizzare una varietà di oggetti. Per utilizzare la casella di inventario, metterlo a terra.","Dans la zone d'inventaire, vous pouvez stocker une variété d'articles. Pour utiliser la boîte d'inventaire, placez-le sur le sol.","En el cuadro de inventario que puede almacenar una variedad de artículos. Para utilizar el cuadro de inventario, colocarlo en el suelo.",在庫ボックスでは、様々なアイテムを格納することができます。在庫ボックスを使用するには、地面の上に置きます。,"재고 상자에서는 다양한 아이템을 저장할 수 있습니다. 재고 상자를 사용하려면, 지상에 배치합니다.",在清單中，您可以存放各種物品。要使用庫存中，將其放置在地面上。,在清单中，您可以存放各种物品。要使用库存中，将其放置在地面上。,"Na caixa de inventário, você pode armazenar uma grande variedade de itens. Para usar a caixa de inventário, coloque-o no chão."
